job_id,plan_status,priority_rank,priority_score,asset_id,section_id,department,work_type,duration_min,deadline,block_id,block_date,scheduled_start,scheduled_end,block_type,block_restrictions,block_isolation_required,train_conflict_checked,scheduling_reason_code,scheduling_reason_detail
J018,UNSCHEDULED,1,93.75,A020,S09,Traction,Pantograph Clearance Check,120,2026-09-01,,,,,,,,False,ISOLATION_UNAVAILABLE,No compatible block provides the required isolation.
J036,SCHEDULED,2,93.71,A008,S10,Engineering,Track Repair,90,2026-08-30,B020,2026-08-30,2026-08-30 06:00,2026-08-30 07:30,Planned,Limited speed,Yes,True,SCHEDULED,Scheduled in the earliest feasible interval for its deterministic priority order.
J039,UNSCHEDULED,3,84.31,A020,S09,Traction,OHE Repair,90,2026-09-03,,,,,,,,True,TRAIN_CONFLICT,Scheduled train movements leave no contiguous maintenance interval.
J010,UNSCHEDULED,4,82.07,A003,S09,Engineering,Ballast Maintenance,45,2026-08-30,,,,,,,,False,ISOLATION_UNAVAILABLE,No compatible block provides the required isolation.
J016,UNSCHEDULED,5,81.03,A011,S05,S&T,Signal Inspection,30,2026-08-30,,,,,,,,False,ISOLATION_UNAVAILABLE,No compatible block provides the required isolation.
J033,UNSCHEDULED,6,80.82,A020,S09,Traction,OHE Repair,75,2026-08-31,,,,,,,,True,TRAIN_CONFLICT,Scheduled train movements leave no contiguous maintenance interval.
J014,SCHEDULED,7,76.98,A004,S07,Engineering,Rail Replacement,90,2026-08-30,B014,2026-08-30,2026-08-30 06:00,2026-08-30 07:30,Planned,Limited speed,Yes,True,SCHEDULED,Scheduled in the earliest feasible interval for its deterministic priority order.
J024,UNSCHEDULED,8,76.12,A025,S01,S&T,Signal Inspection,75,2026-09-01,,,,,,,,True,TRAIN_CONFLICT,Scheduled train movements leave no contiguous maintenance interval.
J015,SCHEDULED,9,74.74,A007,S08,Engineering,Rail Replacement,60,2026-09-02,B015,2026-08-30,2026-08-30 12:00,2026-08-30 13:00,Planned,Limited speed,No,True,SCHEDULED,Scheduled in the earliest feasible interval for its deterministic priority order.
J026,UNSCHEDULED,10,73.97,A002,S09,Engineering,Track Repair,45,2026-08-30,,,,,,,,False,ISOLATION_UNAVAILABLE,No compatible block provides the required isolation.
J040,SCHEDULED,11,72.33,A009,S04,Engineering,Track Inspection,120,2026-09-03,B007,2026-08-30,2026-08-30 22:00,2026-08-31 00:00,Planned,None,No,True,SCHEDULED,Scheduled in the earliest feasible interval for its deterministic priority order.
J013,SCHEDULED,12,72.24,A002,S09,Engineering,Track Repair,30,2026-08-30,B017,2026-08-30,2026-08-30 12:00,2026-08-30 12:30,Planned,None,No,True,SCHEDULED,Scheduled in the earliest feasible interval for its deterministic priority order.
J032,UNSCHEDULED,13,71.64,A013,S06,S&T,Point Machine Maintenance,90,2026-09-01,,,,,,,,True,TRAIN_CONFLICT,Scheduled train movements leave no contiguous maintenance interval.
J031,SCHEDULED,14,69.74,A020,S09,Traction,OHE Repair,30,2026-09-06,B017,2026-08-30,2026-08-30 12:30,2026-08-30 13:00,Planned,None,No,True,SCHEDULED,Scheduled in the earliest feasible interval for its deterministic priority order.
J035,UNSCHEDULED,15,68.88,A003,S09,Engineering,Track Inspection,45,2026-09-02,,,,,,,,False,ISOLATION_UNAVAILABLE,No compatible block provides the required isolation.
J020,UNSCHEDULED,16,68.19,A007,S08,Engineering,Ballast Maintenance,60,2026-09-03,,,,,,,,True,INSUFFICIENT_CONTIGUOUS_CAPACITY,Existing maintenance reservations leave no contiguous interval.
J003,UNSCHEDULED,17,67.33,A023,S09,S&T,Signal Inspection,120,2026-09-05,,,,,,,,False,ISOLATION_UNAVAILABLE,No compatible block provides the required isolation.
J002,UNSCHEDULED,18,66.98,A022,S01,S&T,Signal Inspection,90,2026-09-06,,,,,,,,True,TRAIN_CONFLICT,Scheduled train movements leave no contiguous maintenance interval.
J029,SCHEDULED,19,65.82,A024,S10,S&T,Signal Repair,75,2026-08-31,B019,2026-08-30,2026-08-30 09:00,2026-08-30 10:15,Emergency,None,Yes,True,SCHEDULED,Scheduled in the earliest feasible interval for its deterministic priority order.
J030,UNSCHEDULED,20,63.19,A023,S09,S&T,Point Machine Maintenance,90,2026-09-04,,,,,,,,True,TRAIN_CONFLICT,Scheduled train movements leave no contiguous maintenance interval.
J001,UNSCHEDULED,21,62.03,A008,S10,Engineering,Track Repair,90,2026-09-04,,,,,,,,True,INSUFFICIENT_CONTIGUOUS_CAPACITY,Existing maintenance reservations leave no contiguous interval.
J034,UNSCHEDULED,22,59.44,A015,S04,S&T,Signal Repair,120,2026-09-03,,,,,,,,True,INSUFFICIENT_CONTIGUOUS_CAPACITY,Existing maintenance reservations leave no contiguous interval.
J038,UNSCHEDULED,23,58.02,A002,S09,Engineering,Rail Replacement,30,2026-09-01,,,,,,,,True,INSUFFICIENT_CONTIGUOUS_CAPACITY,Existing maintenance reservations leave no contiguous interval.
J005,SCHEDULED,24,56.51,A008,S10,Engineering,Ballast Maintenance,30,2026-09-05,B020,2026-08-30,2026-08-30 07:30,2026-08-30 08:00,Planned,Limited speed,Yes,True,SCHEDULED,Scheduled in the earliest feasible interval for its deterministic priority order.
J027,SCHEDULED,25,56.29,A001,S02,Engineering,Ballast Maintenance,75,2026-09-02,B003,2026-08-30,2026-08-30 14:26,2026-08-30 15:41,Emergency,Limited speed,Yes,True,SCHEDULED,Scheduled in the earliest feasible interval for its deterministic priority order.
J012,UNSCHEDULED,26,55.34,A007,S08,Engineering,Ballast Maintenance,30,2026-09-04,,,,,,,,False,ISOLATION_UNAVAILABLE,No compatible block provides the required isolation.
